DATE,VALUE
2014-07-01,232.700
2014-08-01,233.000
2014-09-01,233.900
2014-10-01,230.500
2014-11-01,226.300
2014-12-01,224.000
2015-01-01,222.400
2015-02-01,209.200
2015-03-01,205.200
2015-04-01,200.900
2015-05-01,198.300
2015-06-01,200.300
2015-07-01,198.200
2015-08-01,193.000
2015-09-01,190.500
2015-10-01,181.500
2015-11-01,175.200
2015-12-01,172.200
2016-01-01,173.100
2016-02-01,172.700
2016-03-01,175.400
2016-04-01,184.300
2016-05-01,192.900
2016-06-01,193.400
2016-07-01,193.600
2016-08-01,195.000
2016-09-01,191.200
2016-10-01,186.400
2016-11-01,189.300
2016-12-01,196.400
2017-01-01,204.800
2017-02-01,207.300
2017-03-01,213.300
2017-04-01,212.000
2017-05-01,213.700
2017-06-01,213.900
2017-07-01,215.900
2017-08-01,214.100
2017-09-01,215.700
2017-10-01,211.500
2017-11-01,208.800
2017-12-01,212.900
2018-01-01,217.600
2018-02-01,222.100
2018-03-01,227.500
2018-04-01,234.100
2018-05-01,239.000
2018-06-01,242.500
2018-07-01,244.300
2018-08-01,244.800
2018-09-01,244.700
2018-10-01,244.100
2018-11-01,246.700
2018-12-01,245.800
2019-01-01,240.400
2019-02-01,235.700
2019-03-01,238.600
2019-04-01,234.000
2019-05-01,229.800
2019-06-01,222.500
2019-07-01,216.900
2019-08-01,217.800
2019-09-01,212.300
2019-10-01,206.400
2019-11-01,205.100
2019-12-01,207.300
2020-01-01,212.100
2020-02-01,209.100
2020-03-01,210.600
2020-04-01,204.700
2020-05-01,203.500
2020-06-01,203.500
2020-07-01,200.900
2020-08-01,200.400
2020-09-01,205.200
2020-10-01,207.400
2020-11-01,211.100
2020-12-01,230.700
2021-01-01,250.800
2021-02-01,260.500
2021-03-01,292.200
2021-04-01,321.300
2021-05-01,332.600
2021-06-01,354.900
2021-07-01,382.821
2021-08-01,395.232
2021-09-01,405.663
2021-10-01,417.852
2021-11-01,433.525
2021-12-01,433.252
2022-01-01,423.397
2022-02-01,394.696
2022-03-01,397.639
2022-04-01,405.655
2022-05-01,424.725
2022-06-01,412.324
2022-07-01,393.040
2022-08-01,374.122
2022-09-01,353.075
2022-10-01,336.866
2022-11-01,327.874
2022-12-01,322.678
2023-01-01,323.534
2023-02-01,332.616
2023-03-01,340.753
2023-04-01,347.827
2023-05-01,356.020
2023-06-01,348.799
2023-07-01,335.160
2023-08-01,331.341
2023-09-01,323.710
2023-10-01,316.875
2023-11-01,314.569
2023-12-01,325.503
2024-01-01,338.362
2024-02-01,344.739
2024-03-01,321.137
2024-04-01,314.128
2024-05-01,314.168
2024-06-01,308.611
2024-07-01,301.282
2024-08-01,295.464
2024-09-01,291.516
2024-10-01,294.235
2024-11-01,297.911
2024-12-01,288.188
2025-01-01,286.655
2025-02-01,296.547
2025-03-01,312.996
2025-04-01,320.642
2025-05-01,333.703
2025-06-01,320.657
2025-07-01,318.105
2025-08-01,320.719
2025-09-01,317.520
2025-10-01,313.812
2025-11-01,307.944
2025-12-01,323.978
2026-01-01,330.668
2026-02-01,342.046
2026-03-01,347.220
2026-04-01,353.916
